;UKX Index;;HSBA LN Equity;;BP/ LN Equity;;BATS LN Equity;;GSK LN Equity;;AZN LN Equity;;DGE LN Equity;;VOD LN Equity;;RIO LN Equity;;ULVR LN Equity;;PRU LN Equity;;LLOY LN Equity;;1986986D LN Equity;;RKT LN Equity;;SHP LN Equity;;BARC LN Equity;;NG/ LN Equity;;IMB LN Equity;;CPG LN Equity;;TSCO LN Equity;;BA/ LN Equity;;AV/ LN Equity;;STAN LN Equity;;AAL LN Equity;;REL LN Equity;;BT/A LN Equity;;LGEN LN Equity;;WPP LN Equity;;2462936D LN Equity;;SSE LN Equity;;SKY LN Equity;;RR/ LN Equity;;SN/ LN Equity;;OML LN Equity;;IAG LN Equity;;ABF LN Equity;;III LN Equity;;NWG LN Equity;;CCL LN Equity;;CNA LN Equity;;NXT LN Equity;;SGE LN Equity;;SMIN LN Equity;;PSON LN Equity;;RSA LN Equity;;BLND LN Equity;;LAND LN Equity;;KGF LN Equity;;RTO LN Equity;;UU/ LN Equity;;MRW LN Equity;;SBRY LN Equity;;SVT LN Equity;;MKS LN Equity;;SDR LN Equity
04/02/2002;5167,30;04/02/2002;687,56;04/02/2002;554,00;04/02/2002;635,00;04/02/2002;1724,76;04/02/2002;3345,00;04/02/2002;820,00;04/02/2002;212,16;04/02/2002;1173,89;04/02/2002;1281,11;04/02/2002;581,32;04/02/2002;364,61;04/02/2002;342,87;04/02/2002;1036,05;04/02/2002;796,50;04/02/2002;500,19;04/02/2002;476,61;04/02/2002;670,62;04/02/2002;564,10;04/02/2002;315,08;04/02/2002;342,75;04/02/2002;1064,47;04/02/2002;618,04;04/02/2002;1214,60;04/02/2002;667,69;04/02/2002;232,00;04/02/2002;141,19;04/02/2002;664,50;04/02/2002;2596,20;04/02/2002;621,00;04/02/2002;660,00;04/02/2002;55,59;04/02/2002;406,25;04/02/2002;86,04;04/02/2002;136,24;04/02/2002;488,00;04/02/2002;694,54;04/02/2002;5419,79;04/02/2002;1343,21;04/02/2002;226,52;04/02/2002;940,00;04/02/2002;245,10;04/02/2002;1045,50;04/02/2002;767,50;04/02/2002;1136,43;04/02/2002;406,00;04/02/2002;829,07;04/02/2002;288,31;04/02/2002;264,00;04/02/2002;670,22;04/02/2002;201,75;04/02/2002;451,71;04/02/2002;891,49;04/02/2002;441,87;04/02/2002;143,65
05/02/2002;5093,40;05/02/2002;674,93;05/02/2002;538,00;05/02/2002;632,50;05/02/2002;1690,37;05/02/2002;3378,00;05/02/2002;809,00;05/02/2002;203,97;05/02/2002;1152,42;05/02/2002;1276,67;05/02/2002;585,84;05/02/2002;365,36;05/02/2002;341,77;05/02/2002;1035,07;05/02/2002;756,00;05/02/2002;488,94;05/02/2002;475,57;05/02/2002;680,09;05/02/2002;554,71;05/02/2002;313,82;05/02/2002;334,75;05/02/2002;1056,58;05/02/2002;606,00;05/02/2002;1223,82;05/02/2002;665,38;05/02/2002;231,00;05/02/2002;139,82;05/02/2002;650,00;05/02/2002;2572,42;05/02/2002;620,00;05/02/2002;664,50;05/02/2002;53,45;05/02/2002;399,00;05/02/2002;82,35;05/02/2002;134,59;05/02/2002;486,50;05/02/2002;675,68;05/02/2002;5386,73;05/02/2002;1348,20;05/02/2002;226,02;05/02/2002;930,00;05/02/2002;241,95;05/02/2002;1047,75;05/02/2002;726,00;05/02/2002;1139,12;05/02/2002;395,23;05/02/2002;834,87;05/02/2002;281,50;05/02/2002;268,25;05/02/2002;682,53;05/02/2002;202,00;05/02/2002;453,71;05/02/2002;886,58;05/02/2002;437,14;05/02/2002;137,79
06/02/2002;5073,80;06/02/2002;670,57;06/02/2002;549,00;06/02/2002;636,00;06/02/2002;1709,59;06/02/2002;3378,00;06/02/2002;816,00;06/02/2002;194,36;06/02/2002;1187,94;06/02/2002;1276,67;06/02/2002;586,25;06/02/2002;360,40;06/02/2002;348,78;06/02/2002;1034,09;06/02/2002;761,00;06/02/2002;481,07;06/02/2002;471,94;06/02/2002;675,72;06/02/2002;555,26;06/02/2002;312,23;06/02/2002;340,00;06/02/2002;1042,11;06/02/2002;590,35;06/02/2002;1261,75;06/02/2002;669,42;06/02/2002;227,00;06/02/2002;140,05;06/02/2002;650,00;06/02/2002;2567,67;06/02/2002;620,00;06/02/2002;659,50;06/02/2002;50,79;06/02/2002;400,00;06/02/2002;82,58;06/02/2002;131,93;06/02/2002;482,00;06/02/2002;672,00;06/02/2002;5281,52;06/02/2002;1341,55;06/02/2002;229,98;06/02/2002;916,00;06/02/2002;234,85;06/02/2002;1020,75;06/02/2002;727,00;06/02/2002;1082,65;06/02/2002;404,34;06/02/2002;840,18;06/02/2002;278,10;06/02/2002;264,00;06/02/2002;685,88;06/02/2002;201,00;06/02/2002;460,57;06/02/2002;899,47;06/02/2002;433,60;06/02/2002;134,64
07/02/2002;5127,00;07/02/2002;678,85;07/02/2002;545,00;07/02/2002;630,00;07/02/2002;1713,63;07/02/2002;3385,00;07/02/2002;815,00;07/02/2002;205,40;07/02/2002;1165,63;07/02/2002;1277,78;07/02/2002;606,38;07/02/2002;373,05;07/02/2002;343,31;07/02/2002;1029,20;07/02/2002;740,00;07/02/2002;482,87;07/02/2002;476,09;07/02/2002;678,63;07/02/2002;555,26;07/02/2002;314,77;07/02/2002;347,25;07/02/2002;1063,16;07/02/2002;601,18;07/02/2002;1235,10;07/02/2002;671,16;07/02/2002;238,50;07/02/2002;142,11;07/02/2002;668,00;07/02/2002;2605,71;07/02/2002;632,00;07/02/2002;702,00;07/02/2002;52,51;07/02/2002;413,00;07/02/2002;84,88;07/02/2002;128,62;07/02/2002;482,00;07/02/2002;683,50;07/02/2002;5329,61;07/02/2002;1363,18;07/02/2002;229,49;07/02/2002;929,00;07/02/2002;236,69;07/02/2002;1002,75;07/02/2002;730,00;07/02/2002;1147,18;07/02/2002;410,14;07/02/2002;845,01;07/02/2002;279,23;07/02/2002;263,00;07/02/2002;690,36;07/02/2002;203,00;07/02/2002;459,43;07/02/2002;881,67;07/02/2002;436,25;07/02/2002;139,40
08/02/2002;5128,10;08/02/2002;684,08;08/02/2002;543,50;08/02/2002;627,00;08/02/2002;1718,69;08/02/2002;3380,00;08/02/2002;810,00;08/02/2002;205,40;08/02/2002;1155,72;08/02/2002;1262,22;08/02/2002;607,20;08/02/2002;371,56;08/02/2002;342,65;08/02/2002;1033,11;08/02/2002;753,00;08/02/2002;483,09;08/02/2002;478,16;08/02/2002;677,17;08/02/2002;553,61;08/02/2002;310,97;08/02/2002;350,00;08/02/2002;1057,90;08/02/2002;602,38;08/02/2002;1250,47;08/02/2002;672,31;08/02/2002;249,75;08/02/2002;144,40;08/02/2002;705,00;08/02/2002;2605,71;08/02/2002;630,50;08/02/2002;726,00;08/02/2002;52,85;08/02/2002;424,50;08/02/2002;84,42;08/02/2002;129,94;08/02/2002;481,00;08/02/2002;685,34;08/02/2002;5260,48;08/02/2002;1341,55;08/02/2002;228,50;08/02/2002;917,50;08/02/2002;238,27;08/02/2002;1011,75;08/02/2002;760,50;08/02/2002;1122,09;08/02/2002;415,94;08/02/2002;854,18;08/02/2002;281,50;08/02/2002;255,50;08/02/2002;685,32;08/02/2002;203,00;08/02/2002;453,71;08/02/2002;888,42;08/02/2002;444,23;08/02/2002;135,15
11/02/2002;5161,80;11/02/2002;694,53;11/02/2002;541,50;11/02/2002;632,00;11/02/2002;1740,94;11/02/2002;3397,00;11/02/2002;815,00;11/02/2002;203,62;11/02/2002;1177,20;11/02/2002;1277,78;11/02/2002;603,10;11/02/2002;374,04;11/02/2002;350,32;11/02/2002;1061,46;11/02/2002;757,00;11/02/2002;496,59;11/02/2002;482,31;11/02/2002;674,26;11/02/2002;550,29;11/02/2002;320,47;11/02/2002;344,50;11/02/2002;1071,05;11/02/2002;618,04;11/02/2002;1253,55;11/02/2002;681,55;11/02/2002;257,50;11/02/2002;145,78;11/02/2002;700,00;11/02/2002;2600,95;11/02/2002;626,00;11/02/2002;723,00;11/02/2002;50,19;11/02/2002;420,00;11/02/2002;84,19;11/02/2002;130,61;11/02/2002;486,00;11/02/2002;679,36;11/02/2002;5308,57;11/02/2002;1358,19;11/02/2002;228,50;11/02/2002;918,00;11/02/2002;237,48;11/02/2002;1018,50;11/02/2002;768,00;11/02/2002;1142,70;11/02/2002;424,23;11/02/2002;855,15;11/02/2002;284,53;11/02/2002;255,00;11/02/2002;675,81;11/02/2002;207,25;11/02/2002;464,57;11/02/2002;886,58;11/02/2002;450,14;11/02/2002;136,00
12/02/2002;5135,70;12/02/2002;678,85;12/02/2002;545,00;12/02/2002;630,00;12/02/2002;1760,16;12/02/2002;3428,00;12/02/2002;819,50;12/02/2002;194,00;12/02/2002;1189,59;12/02/2002;1291,11;12/02/2002;587,48;12/02/2002;372,30;12/02/2002;349,66;12/02/2002;1075,14;12/02/2002;770,00;12/02/2002;488,94;12/02/2002;480,24;12/02/2002;677,90;12/02/2002;536,48;12/02/2002;314,13;12/02/2002;335,00;12/02/2002;1078,95;12/02/2002;622,05;12/02/2002;1265,85;12/02/2002;674,62;12/02/2002;254,50;12/02/2002;143,95;12/02/2002;679,00;12/02/2002;2646,12;12/02/2002;635,00;12/02/2002;722,00;12/02/2002;49,42;12/02/2002;420,50;12/02/2002;84,65;12/02/2002;135,08;12/02/2002;483,00;12/02/2002;667,40;12/02/2002;5260,48;12/02/2002;1353,20;12/02/2002;229,98;12/02/2002;923,00;12/02/2002;233,53;12/02/2002;1027,50;12/02/2002;750,00;12/02/2002;1150,77;12/02/2002;432,93;12/02/2002;873,98;12/02/2002;285,29;12/02/2002;253,50;12/02/2002;679,17;12/02/2002;207,50;12/02/2002;464,86;12/02/2002;886,58;12/02/2002;446,59;12/02/2002;136,94
13/02/2002;5153,90;13/02/2002;686,26;13/02/2002;552,50;13/02/2002;639,50;13/02/2002;1762,19;13/02/2002;3435,00;13/02/2002;825,00;13/02/2002;193,29;13/02/2002;1207,76;13/02/2002;1312,22;13/02/2002;586,66;13/02/2002;378,01;13/02/2002;361,93;13/02/2002;1059,50;13/02/2002;770,50;13/02/2002;498,16;13/02/2002;479,20;13/02/2002;683,00;13/02/2002;552,50;13/02/2002;316,67;13/02/2002;325,50;13/02/2002;1078,95;13/02/2002;617,23;13/02/2002;1291,47;13/02/2002;670,00;13/02/2002;249,00;13/02/2002;143,03;13/02/2002;681,00;13/02/2002;2622,35;13/02/2002;630,00;13/02/2002;700,50;13/02/2002;48,39;13/02/2002;419,00;13/02/2002;86,50;13/02/2002;132,43;13/02/2002;499,00;13/02/2002;664,18;13/02/2002;5302,56;13/02/2002;1328,23;13/02/2002;229,73;13/02/2002;919,00;13/02/2002;219,86;13/02/2002;1032,00;13/02/2002;747,00;13/02/2002;1111,33;13/02/2002;434,17;13/02/2002;873,98;13/02/2002;285,29;13/02/2002;252,00;13/02/2002;693,72;13/02/2002;207,00;13/02/2002;469,71;13/02/2002;882,89;13/02/2002;445,12;13/02/2002;138,21
14/02/2002;5208,80;14/02/2002;698,02;14/02/2002;569,50;14/02/2002;645,50;14/02/2002;1783,43;14/02/2002;3500,00;14/02/2002;820,00;14/02/2002;190,09;14/02/2002;1207,76;14/02/2002;1300,00;14/02/2002;592,41;14/02/2002;384,46;14/02/2002;364,56;14/02/2002;1060,48;14/02/2002;778,50;14/02/2002;488,04;14/02/2002;485,42;14/02/2002;688,10;14/02/2002;558,03;14/02/2002;315,72;14/02/2002;339,00;14/02/2002;1092,11;14/02/2002;619,64;14/02/2002;1322,22;14/02/2002;685,60;14/02/2002;261,00;14/02/2002;145,32;14/02/2002;705,00;14/02/2002;2658,01;14/02/2002;644,00;14/02/2002;723,00;14/02/2002;50,70;14/02/2002;403,50;14/02/2002;88,81;14/02/2002;135,75;14/02/2002;494,00;14/02/2002;649,46;14/02/2002;5410,78;14/02/2002;1328,23;14/02/2002;233,44;14/02/2002;943,00;14/02/2002;224,33;14/02/2002;1042,50;14/02/2002;730,00;14/02/2002;1129,26;14/02/2002;432,10;14/02/2002;875,91;14/02/2002;291,34;14/02/2002;256,25;14/02/2002;693,72;14/02/2002;205,75;14/02/2002;471,43;14/02/2002;890,88;14/02/2002;454,27;14/02/2002;140,68
15/02/2002;5182,50;15/02/2002;691,05;15/02/2002;571,50;15/02/2002;657,00;15/02/2002;1776,35;15/02/2002;3540,00;15/02/2002;826,00;15/02/2002;187,95;15/02/2002;1199,50;15/02/2002;1307,78;15/02/2002;585,84;15/02/2002;364,36;15/02/2002;350,97;15/02/2002;1061,95;15/02/2002;753,50;15/02/2002;479,27;15/02/2002;484,39;15/02/2002;693,92;15/02/2002;560,24;15/02/2002;318,25;15/02/2002;337,00;15/02/2002;1075,00;15/02/2002;615,23;15/02/2002;1297,62;15/02/2002;687,33;15/02/2002;258,50;15/02/2002;143,03;15/02/2002;705,00;15/02/2002;2677,03;15/02/2002;645,00;15/02/2002;735,00;15/02/2002;51,48;15/02/2002;407,00;15/02/2002;86,50;15/02/2002;132,60;15/02/2002;497,00;15/02/2002;632,90;15/02/2002;5374,70;15/02/2002;1298,27;15/02/2002;233,44;15/02/2002;930,00;15/02/2002;228,27;15/02/2002;1047,00;15/02/2002;734,50;15/02/2002;1107,75;15/02/2002;430,86;15/02/2002;869,15;15/02/2002;288,31;15/02/2002;263,00;15/02/2002;689,80;15/02/2002;206,00;15/02/2002;465,14;15/02/2002;905,61;15/02/2002;446,59;15/02/2002;141,53
