;NDX Index;;MXIM UW Equity;;DISH UW Equity;;AMZN UW Equity;;CSCO UW Equity;;INTC UW Equity;;MSFT UW Equity;;EBAY UW Equity;;ADBE UW Equity;;AMGN UW Equity;;AAPL UW Equity;;CTAS UW Equity;;CMCSA UW Equity;;KLAC UW Equity;;PCAR UW Equity;;COST UW Equity;;AMAT UW Equity;;EA UW Equity;;FI UW Equity;;BIIB UW Equity;;PAYX UW Equity;;QCOM UW Equity;;SBUX UW Equity;;XLNX UW Equity;;INTU UW Equity;;MCHP UW Equity;;CHKP UW Equity;;CTXS UW Equity
02/01/2001;2128,78;02/01/2001;46,38;02/01/2001;19,56;02/01/2001;0,69;02/01/2001;33,31;02/01/2001;31,06;02/01/2001;21,69;02/01/2001;3,18;02/01/2001;23,37;02/01/2001;62,88;02/01/2001;0,27;02/01/2001;12,59;02/01/2001;13,31;02/01/2001;34,13;02/01/2001;6,58;02/01/2001;41,19;02/01/2001;19,75;02/01/2001;19,47;02/01/2001;7,40;02/01/2001;54,58;02/01/2001;45,69;02/01/2001;35,44;02/01/2001;5,26;02/01/2001;43,25;02/01/2001;18,13;02/01/2001;7,27;02/01/2001;73,67;02/01/2001;16,67
03/01/2001;2528,38;03/01/2001;55,94;03/01/2001;24,38;03/01/2001;0,88;03/01/2001;41,31;03/01/2001;34,23;03/01/2001;23,97;03/01/2001;4,14;03/01/2001;28,97;03/01/2001;67,06;03/01/2001;0,29;03/01/2001;12,52;03/01/2001;13,88;03/01/2001;42,69;03/01/2001;7,13;03/01/2001;42,69;03/01/2001;24,81;03/01/2001;20,18;03/01/2001;7,81;03/01/2001;57,20;03/01/2001;48,63;03/01/2001;42,03;03/01/2001;5,41;03/01/2001;51,06;03/01/2001;19,53;03/01/2001;9,00;03/01/2001;95,75;03/01/2001;18,26
04/01/2001;2460,04;04/01/2001;53,44;04/01/2001;23,31;04/01/2001;0,78;04/01/2001;41,88;04/01/2001;33,80;04/01/2001;24,22;04/01/2001;3,72;04/01/2001;26,88;04/01/2001;62,69;04/01/2001;0,31;04/01/2001;12,44;04/01/2001;13,67;04/01/2001;39,81;04/01/2001;6,99;04/01/2001;43,63;04/01/2001;22,19;04/01/2001;20,34;04/01/2001;7,75;04/01/2001;50,97;04/01/2001;45,31;04/01/2001;39,47;04/01/2001;5,14;04/01/2001;52,31;04/01/2001;20,22;04/01/2001;8,98;04/01/2001;91,04;04/01/2001;22,10
05/01/2001;2267,85;05/01/2001;50,13;05/01/2001;21,52;05/01/2001;0,73;05/01/2001;36,63;05/01/2001;32,06;05/01/2001;24,56;05/01/2001;3,22;05/01/2001;25,75;05/01/2001;58,31;05/01/2001;0,29;05/01/2001;11,89;05/01/2001;13,56;05/01/2001;37,19;05/01/2001;7,05;05/01/2001;41,31;05/01/2001;21,34;05/01/2001;17,63;05/01/2001;7,67;05/01/2001;47,61;05/01/2001;44,69;05/01/2001;36,53;05/01/2001;5,22;05/01/2001;49,94;05/01/2001;18,13;05/01/2001;8,23;05/01/2001;77,63;05/01/2001;21,25
08/01/2001;2281,54;08/01/2001;52,06;08/01/2001;20,96;08/01/2001;0,75;08/01/2001;36,55;08/01/2001;31,94;08/01/2001;24,47;08/01/2001;3,22;08/01/2001;24,78;08/01/2001;58,69;08/01/2001;0,30;08/01/2001;12,00;08/01/2001;13,56;08/01/2001;40,38;08/01/2001;7,00;08/01/2001;41,94;08/01/2001;22,88;08/01/2001;18,41;08/01/2001;8,14;08/01/2001;45,81;08/01/2001;46,44;08/01/2001;38,94;08/01/2001;5,30;08/01/2001;48,25;08/01/2001;16,47;08/01/2001;8,10;08/01/2001;73,83;08/01/2001;21,00
09/01/2001;2311,40;09/01/2001;52,06;09/01/2001;21,80;09/01/2001;0,82;09/01/2001;37,13;09/01/2001;32,25;09/01/2001;25,91;09/01/2001;3,51;09/01/2001;24,91;09/01/2001;62,00;09/01/2001;0,31;09/01/2001;12,44;09/01/2001;14,06;09/01/2001;41,50;09/01/2001;6,81;09/01/2001;41,81;09/01/2001;21,75;09/01/2001;19,03;09/01/2001;8,32;09/01/2001;44,06;09/01/2001;48,56;09/01/2001;36,63;09/01/2001;5,22;09/01/2001;48,06;09/01/2001;17,03;09/01/2001;7,92;09/01/2001;76,33;09/01/2001;22,25
10/01/2001;2413,71;10/01/2001;54,88;10/01/2001;23,25;10/01/2001;0,83;10/01/2001;36,25;10/01/2001;33,00;10/01/2001;26,44;10/01/2001;4,14;10/01/2001;22,88;10/01/2001;60,75;10/01/2001;0,30;10/01/2001;12,13;10/01/2001;13,88;10/01/2001;39,50;10/01/2001;6,67;10/01/2001;40,69;10/01/2001;22,38;10/01/2001;19,56;10/01/2001;8,39;10/01/2001;48,55;10/01/2001;47,38;10/01/2001;36,22;10/01/2001;5,50;10/01/2001;52,00;10/01/2001;17,63;10/01/2001;8,17;10/01/2001;81,79;10/01/2001;22,10
11/01/2001;2524,29;11/01/2001;58,56;11/01/2001;25,89;11/01/2001;0,85;11/01/2001;39,13;11/01/2001;33,38;11/01/2001;27,50;11/01/2001;4,31;11/01/2001;24,03;11/01/2001;60,63;11/01/2001;0,32;11/01/2001;11,66;11/01/2001;14,19;11/01/2001;42,81;11/01/2001;6,75;11/01/2001;41,31;11/01/2001;23,19;11/01/2001;17,72;11/01/2001;8,17;11/01/2001;50,66;11/01/2001;47,94;11/01/2001;35,28;11/01/2001;5,54;11/01/2001;52,13;11/01/2001;17,50;11/01/2001;8,98;11/01/2001;82,92;11/01/2001;23,14
12/01/2001;2506,05;12/01/2001;59,56;12/01/2001;26,34;12/01/2001;0,88;12/01/2001;38,06;12/01/2001;32,13;12/01/2001;26,75;12/01/2001;4,22;12/01/2001;25,22;12/01/2001;59,75;12/01/2001;0,31;12/01/2001;11,11;12/01/2001;14,47;12/01/2001;39,94;12/01/2001;6,73;12/01/2001;43,06;12/01/2001;23,19;12/01/2001;18,13;12/01/2001;7,96;12/01/2001;51,77;12/01/2001;48,50;12/01/2001;35,91;12/01/2001;5,59;12/01/2001;50,00;12/01/2001;17,03;12/01/2001;8,75;12/01/2001;82,67;12/01/2001;21,90
16/01/2001;2470,72;16/01/2001;57,56;16/01/2001;28,75;16/01/2001;0,90;16/01/2001;38,50;16/01/2001;31,38;16/01/2001;26,28;16/01/2001;4,61;16/01/2001;25,44;16/01/2001;61,56;16/01/2001;0,31;16/01/2001;11,25;16/01/2001;14,88;16/01/2001;37,19;16/01/2001;6,98;16/01/2001;43,56;16/01/2001;22,22;16/01/2001;18,72;16/01/2001;7,70;16/01/2001;52,81;16/01/2001;47,38;16/01/2001;35,47;16/01/2001;5,60;16/01/2001;48,44;16/01/2001;17,03;16/01/2001;8,50;16/01/2001;80,38;16/01/2001;21,95
